ticker;nome;indice
ASAI3;Assai ON NM;SMALL CAPS
PGMN3;Pague Menos ON NM;SMALL CAPS
IRBR3;Irbbrasil Re ON NM;SMALL CAPS
PLPL3;Planoeplano ON NM;SMALL CAPS
SIMH3;Simpar ON NM;SMALL CAPS
MGLU3;Magaz Luiza ON NM;SMALL CAPS
QUAL3;Qualicorp ON NM;SMALL CAPS
BHIA3;Casas Bahia ON NM;SMALL CAPS
LAVV3;Lavvi ON ED NM;SMALL CAPS
CURY3;Cury S/A ON NM;SMALL CAPS
IGTI11;Iguatemi S.A UNT N1;SMALL CAPS
JHSF3;Jhsf Part ON NM;SMALL CAPS
POMO4;Marcopolo PN N2;SMALL CAPS
TTEN3;3tentos ON NM;SMALL CAPS
ALPA4;Alpargatas PN N1;SMALL CAPS
GOAU4;Gerdau Met PN ED N1;SMALL CAPS
INTB3;Intelbras ON NM;SMALL CAPS
MYPK3;Iochp-Maxion ON NM;SMALL CAPS
FLRY3;Fleury ON NM;SMALL CAPS
HBSA3;Hidrovias ON NM;SMALL CAPS
RANI3;Irani ON ED NM;SMALL CAPS
CAML3;Camil ON NM;SMALL CAPS
VLID3;Valid ON NM;SMALL CAPS
YDUQ3;Yduqs Part ON NM;SMALL CAPS
BRSR6;Banrisul PNB N1;SMALL CAPS
DXCO3;Dexco ON NM;SMALL CAPS
UNIP6;Unipar PNB;SMALL CAPS
VULC3;Vulcabras ON NM;SMALL CAPS
ECOR3;Ecorodovias ON NM;SMALL CAPS
CVCB3;Cvc Brasil ON NM;SMALL CAPS
EZTC3;Eztec ON NM;SMALL CAPS
ALOS3;Allos ON NM;SMALL CAPS
BLAU3;Blau ON NM;SMALL CAPS
MDIA3;M.Diasbranco ON NM;SMALL CAPS
SMFT3;Smart Fit ON NM;SMALL CAPS
ODPV3;Odontoprev ON NM;SMALL CAPS
CSMG3;Copasa ON NM;SMALL CAPS
PNVL3;Dimed ON NM;SMALL CAPS
BRAV3;Brava ON NM;SMALL CAPS
BRKM5;Braskem PNA N1;SMALL CAPS
COGN3;Cogna On ON NM;SMALL CAPS
HYPE3;Hypera ON NM;SMALL CAPS
BRBI11;Br Partners UNT N2;SMALL CAPS
CSAN3;Cosan ON NM;SMALL CAPS
LREN3;Lojas Renner ON NM;SMALL CAPS
NATU3;Natura ON NM;SMALL CAPS
RCSL4;Recrusul PN;SMALL CAPS
AMOB3;Automob ON NM;SMALL CAPS
TFCO4;Track Field PN N2;SMALL CAPS
RAIZ4;Raizen PN N2;SMALL CAPS

RIGG34;Transocean DRN;BDR
FSLR34;First Solar DRN;BDR
S1PO34;Spotify Tech DRN;BDR
T1TW34;Take-Two Int DRN;BDR
AALL34;American Air DRN;BDR
N1OW34;Servicenow DRN;BDR
P1DD34;Pdd Holding DRN;BDR
B1IL34;Bilibili Inc DRN;BDR
T1AL34;Tal Educatio DRN;BDR
NFLX34;Netflix DRN EB;BDR
MELI34;Mercadolibre DRN;BDR
PYPL34;Paypal Hold DRN;BDR
ADBE34;Adobe Inc DRN;BDR
U1BE34;Uber Tech In DRN;BDR
BERK34;Berkshire DRN;BDR
PAGS34;Pagseguro DRN;BDR
